Start Date,End Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Tag
03/21/2007 0:00:00,,"THE GASTECH CAR STRIKES THE AUTOMOBILE NEAR ELODIS, FAMILY OF FOUR DEAD ONES",,"ELODIS, Kronos - a collision of the vehicle demanded the lives of a family of Elodis, including afternoon of Tuesday of two children.  The family traveled to house of a program of the school where one of the children had been made in the program of the means in the primary school of Elodis.

Auxiliary commission Fixes Koppolis of the police of Elodis disclosed three of the victims died in the scene of the accident.  Marcellus Edris, 33, its Valeria wife, 30, its Celia daughter, 7 died in the scene of the accident.  A son, carmine, survived the initial collision but he died more ahead in a hospital of Abila.",,Daily Pegasus,,,
04/26/1998 0:00:00,,"ELODIS, KRONOS:  AID OF UNEXPECTED BRONDeel two",,"This Article is the second advance of a three-part range the tackling growing problem of one fear of the community, government indictable offense, and the alarming influence of multinational companies on the country of Kronos.

I obtained Henk Bodrogi which in city in purchases make rise of the hardware at Ferro to repair a broken motor tractor.  Bodrogi have soya broad beans complete life have been treated, such as its father and their fathers. I asked him concerning its life on the agriculture company.",,The Wrap,,,
08/22/2012 0:00:00,,WHO ARE THE PROTESTERS,,"ABILA, Kronos - With the third anniversary of Elian Karel's death approaching - former member of the Protectors of Kronos - the question is: who are the protesters? The POK was initiated to bring attention to the clean water issues surrounding Elodis to the Government of Kronos and the world. The POK asserts he was arrested on trumped up charges while the Government of Kronos contends he was a radical and violent activist engaged in tax evasion.

The POK has evolved from peaceful protests and demonstrations demanding government action to more violent activities including riots as they claim that the government has done little to nothing in addressing the contamination, poisonings, and deaths suffered by their people.",,News Online Today,,,
06/20/2009 0:00:00,,SPONTANEOUS PROTESTS ERUPT AROUND ABILA,,"ABILA, Kronos - Protests erupted around the Kronos government buildings, downtown, and elsewhere around Abila eventually escalating into riots and violence.

The activists are protesting the death yesterday of Elian Karel, a Protector of Kronos (POK) activist who died in jail after being arrested for tax evasion. However, the protests have turned violent with smashed windows and vandalized shops.",,The Abila Post,,,
10/15/1997 0:00:00,,GOVERNMENT CITES 'MINOR' CONTAMINATION NEAR ELODIS,,"ABILA, Kronos - After continued complaints and appeals from the people of Elodis government officials acknowledge minor contamination in and around the rural township in a report on their investigation into the townspeople's health issues. However, the government report stops short of blaming GAStech International and its Tiskele Bend site 20 km upstream as the people of Elodis assert.",,News Online Today,,,
03/24/2001 0:00:00,,"REPORTS THE MEASURE OF THE TAX, BLOCKED EFFORTS POK",,"Abila, Kronos - a measure became taxes at foreign oil and raise gasontwikkeling which by minister of health Cesare Nespola is presented covered by a broad fork last week at the general meeting.

This defeat is a harsh battle to the guards of Kronos, a group Elodis which to this financing added to supply drinking and irrigation water health care and environment cleaning turn of them.",,The Wrap,,,
06/01/2000 0:00:00,,ELODIS PUBLIC HEALTH FACT SHEET - UPDATE,,"ELODIS, Kronos -The environmental consequences of Hyper Acidic Substrate Removal (HASR), a controversial drilling technique have taken a huge toll on the health of Elodis residents.",,News Online Today,,,
06/22/2013 0:00:00,,"Annual ends of the meeting of POK in uproar, again",,"ABILA, Kronos - the members of POK celebrated their annual demonstration in Abila yesterday.  Greater of the crowd it generally collected in front of the building of the Capitol, shaking the samples that carried out the pictures of Elian Karel and Julian Vann, that were painted like POK ""martyrs"".  The crowds sang on the corruption of the government and called president Dorel Kapelou to reduce.  Several protestors took the samples that called for an end to ""corporative Capitalism exploitive of Tethys"" and alleging, ""GAStech poisoned to our cabritos"".

The police and the forces of the government security installed between protestors and the building of the Capitol in a demonstration of the force, hoping to prevent the class with chaos that happened during the uproar of the last year.  Nevertheless, after several hours to sing and of speeches, the geniuses in the crowd indicated by means of lights and protestors undertook the line of the police.  The forces of the police were forced to use the tear gas, the aerosol of the pepper, the tubes of the water, and the rubber bullets to put under the crowd and to protect the characteristic.  In spite of their heroic efforts, protestors handled to break some windows, damages several vehicles of the police, and damages three officials.",,The Guide,,,
03/13/2009 0:00:00,,ARRESTED LEADER POK,,"ABILA, Kronos - Elian Karel, the charismatic LEADER of the guards of Kronos, was arrested today on charges of belastingontwijking. Michale Kraft, the lawyer of Karel, released a declaration claiming that the charges which are levelled against its customer false were and that he hoped its customer [of police force preservation] at the end of the week. are delivered

Answered the declaration to the spokesman Adrien Carman of the police force by Kraft, explaining, I think M. Kraft the seriousness of the situation of its customer have underestimated. We have had dense its group since some time. followed",,News Desk,,,
06/15/2010 0:00:00,,ANNIVERSARY OF PROTESTS,,"ABILA, Kronos - previous year vomit the spontaneous protests and babble around Abila in reply to the death of Elian Karel from, guards of the activist Kronos (of POK). The civil servants fear a recurrence of the violent activities of previous year around the city on the pleasing anniversary of the death of Karel on 19 June.

Civil servants of the government gave that to a short declaration from people insuring of Abila their security of the largest importance are. Concern your matter usual. The groups such as the guards of Kronos continue working apprehension, which tries living and government change apprehension. Your government to vrees-mongering.",,News Desk,,,
06/21/2009 0:00:00,,THE SPONTANEOUS PROTESTS BURST AROUND ABILA,,"ABILA, Kronos - the protests burst around the buildings of government of Kronos, the center town, and elsewhere around Abila climbing thereafter in riots and violence.

The activists protest yesterday the death of Elan Carol, a guard of activist of Kronos (POK) which died in prison after being stopped for tax avoidance. However, the protests turned violent one with the broken windows and vandalized of the stores.",,Athena Speaks,,,
09/25/1994 0:00:00,,THE EXTENSION OF GASTECH REACHES THE KRONOS BORDERS,,"AVILA, Kronos - groundbreaking today in the site of the curve of Tiskele marks another flag planted in foreign ground by GAStech International. The international extension of the Jr of Sten Sanjorge has be the seal of its brief renting in the rudder that follows the death of its father in February of this year.

""It is today the great day for the people of Kronos. With the works, and the cheapest and cleaner fuel provided by GAStech that you can begin to live the lives you you deserve.""",,The General Post,,,
01/20/2014 0:00:00,,To break off itself: The emergency to GAStech quarters the construction [modernizations],,"1:00 PM of the modernization:  The police has come and gone from the building of GAStech, but until this point no employee of GAStech she has left the construction.  Still we do not have official word on because the police is present.",,Tethys News,,,
06/23/2012 0:00:00,,"Kapelou calls POK ""one group of criminals""",,"ABILA, Kronos - in a press launching today, president Kapelou today called the POK ""one group of criminals, the gamberros, and malcontents that has done pestilence to our way of the pacific life.""  The commentaries of president Kapelou come after a given demonstration of POK return in a great uproar in through sector from government from the capital Tuesday.  President Kapelou has called for the increasing patrols of the police of the area of Elodis and has said that all the demonstrations of the future POK ""will be solved with the maximum force of the police.""",,The Guide,,,
05/15/2009 0:00:00,,GASTECH ADOPTS NEW LOGO,,"CENTRUM, Tethys - With great fanfare GAStech International's President and CEO Sten Sanjorge, Jr. revealed the company's new logo, part of the company's rebranding process.

During the press conference Sanjorge, Jr. spoke of the new logo - a tri-part blue flame - that is reminiscent of a leaf to ""help position GAStech and its products as a clean fuel alternative."" He also referenced that the tri-part flame represents the past, present, and future of the company in that by keeping ""one eye on the past we know from where we came - our humble beginnings; one eye on the future we will know where we are going - our coming success; and both feet planted in the present we will be proactive in an ever-changing, competitive industry.""",,The World,,,
01/19/1998 0:00:00,,Advantages of Kronos of foreign investment,,"ABILA, Kronos - is today the fifth birthday of the visionary plan of the President Araullo' S to bring the foreign investment to Kronos, a daring act which derived the enormous advantages for our country right.  Abila of today is a metropolis activating new cars completely, of new construction, brilliant buildings of office, and modern suitabilities.  Went potholed of the streets, weak factories, front of store tired, and sad markets of the past.  Abila of today is a town of industry, a place of trade and investment, of a place of occasion and success.  Prosperity came in Kronos, and we are very better for him.

However, there remain those which think incorrectly that prosperity is bad for us.  These people claim that the foreign investment is bad for our country, that which it dilutes our culture and undermines our values.  They claim that the foreigners exploit us for their own profit and that our government makes consider little for the wellbeing of our people.  They are so militant in their false-directed belief which they manufactured claims that the alien companies poison our children with their technology.  They even went as much as to have brought the foreign ""experts"" who it complaint ""have our best interests in the middle"" helping to draw aside their agenda against progress and prosperity for our people.  Hypocrisy to bring the foreigners to say to us that the opening of our country the abroads is bad for us is laughable and is obviously a sign of psychosis in those which are opposed to our modernization.",,Worldwise,,,
01/20/2014 0:00:00,,"INTERROGATED, SENT EMPLOYEE OF GASTECH",," The evident confusion comes the similarity between its name and the one from a protector of the member of Kronos.

Vann, protector of security for GAStech, was furious, indicating, ""I do not have anything to do nobodies with no members of group POK of the terrorist. I know nobody of Elodis. I was born here in Abila and support to my government and my president. It is being being accused and being interrogated by 6 hours like member of terrorist POK one of the worse days of my life. Hardly because a person has he himself name that a criminal does not do him a criminal.""",,The Explainer,,,
02/18/1994 0:00:00,,"THE BUSINESSES AHEAD, CIVIC CHIEF DIE IN 65",,"CENTRUM, Tethys - after four years of health decreasing according to an important heart attack, Sten Sanjorge, Sr. Friday morning early dead.

Sanjorge, Sr., 65, of the centrum, Tethys was President Emeritus of international of GAStech having founded the company in 1961. In addition to its role at international GAStech was the Chairman of the board of room of centrum and the member of the management committee of the hospital of the children of centrum.",,The Light of Truth,,,
01/20/2014 0:00:00,,VOICES - a blog approximately that what is important to people,,1251 - The police who has arrived as soon as she has entered immediately in the centers of GAStech.  At the same time the policemen who are themselves find on the yard hour to you are reconstructing the yellow perimeter of the tape.  Still no word on the position of the civil employees of GAStech or the government and no employee has left the constructions. 20 gen. 2014,,Centrum Sentinel,,,
11/16/1999 0:00:00,,Global boxes of the charity of dren of the disasters,,"The new pleas campaign in the horizon to maintain liquidity.

The agencies of the aid have noticed that the monetary necessities and of the food have increased everywhere and that they can not be able to solve basic necessities.",,Everyday News,,,
06/21/2009 0:00:00,,The turns of the protest violently in Abila,,"ABILA, Kronos - a collection of hundreds of protestors which is united with the guards of movement Kronos which is twisted today to violence since the boze activists their dissatisfaction on the onschuldige citizens of Abila after hearing the news of POK the death of leidersElian Karel ventilated.  Karel, which had waited for test for belastingontwijking, were found in its morning of prison cell dead yesterday.

The assembly POK started peacefully enough with usual chanted slogans and undulating protest signs, but when rabble - rabble-rouser one youngsters started seized bullhorn and the calling mob to violence.  The mob break windows and vandalized shops fires determined on the Siopa area, in the streets, and bluntest with police force.  The extra politiekrachten answered to contain chaos and they were forced rubber balls and use traangas to spread the mob.",,The Truth,,,
03/04/2010 0:00:00,,,,"It is the first incident of his class in the history of the famous race of boat of the world, in which the yachts around the Mediterranean coast compete for the gold cup coveted.

The presidential boat, had by the family of present president Karel Kapelou II of Kronos, began to take in the water and disappeared slowly in the sea.",,Everyday News,,,
02/23/2009 0:00:00,,"The protectors of Kronos de Kronos declared ""group of the terrorist""",,"<<Deleted image: POK has celebrated numerous demonstrations in the capital of Kronos de Abila>>

To continue reading main history",,Everyday News,,,
01/20/2014 0:00:00,,The AIRPORT Of ABILA CONFIRMS TWO PRIVATE TRAVELS OUT OF LEFT JET TODAY,,"ABILA, Kronos - the fueler Ravi Danisliau of airport of Abila confirmed that two deprived voyage out of jet separated today after being filled with fuel.

According to Danisliau, the seven or eight passengers of the first plane were ""businesses types"" and seemed to be in a hurry. It was not exactly clear where they were directed. The plane took off about local time of Kronos 12:30.",,Athena Speaks,,,
01/20/2014 0:00:00,,VOICES - a blog approximately that what is important to people,,"1130 - Some of the civil employees of the fire have removed the construction and are communicating with civil employees, but no announcement has been made approximately the events the centers of GAStech. 20 gen. 2014",,Centrum Sentinel,,,
06/21/2009 0:00:00,,SPONTANEOUS PROTESTS ERUPT AROUND ABILA,,"ABILA, Kronos - Protests erupted around the Kronos government buildings, downtown, and elsewhere around Abila eventually escalating into riots and violence.

A unifying theme of the protesters was the chanted slogans including ""Justice for Elian"" in reference to previously mentioned activist Elian Karel and ""Remember Juliana"", a young girl from Elodis who died in 1998 allegedly from the effects of water contamination.",,News Online Today,,,
11/23/2011 0:00:00,,DRYING PAPER OF THE HALTING OF THE POLICE OF KRONOS - ABILA,,"AWELON, CYNTHE/DOB: 3/20/1981/Tiempo of the halting: 0003 hours/accused of: EQUIPMENT OF THE DRUG

BLUMIAU, WILLEM/DOB: 2/15/1995/Tiempo of the halting: 2215 hours/accused of: POSSESSION OF THE CONTROLLED SUBSTANCE (HASHISH); FOREIGN AUTHORIZATION",,The Explainer,,,
11/14/1998 0:00:00,,WELLNESS FOR ALL DEFLAGRATIONS GASTECH AND KRONOS GOVT (OF WFA),,"ABILA, Kronos - the healthy group of the water information, Wellness has all (WFA), both international GAStech and the government of Kronos condemned. Wfa- the declaration requires widespread groundwater pollution, a lack of adequate protections, cleaning requirement and no government carelessness which is ignored.

The government of Kronos, when contacted, decreased to comment.",,The Tulip,,,
04/11/2012 0:00:00,,COLLECTION WHICH IS PLANNED TO SUPPORT OF THE RAISED DUTY OF RESPONSIBILITY OF THE GOVERNMENT,,"ABILA, Kronos - Silvia Marek, LEADER of the guards of Kronos social action organization is connect himself appealing on the citizens of Kronos at her for a day of peaceful protest tomorrow.  Marek ask all connect itself citizens concerned at her to bring political corruption and favoritism information to the problem of penetrating in the offices of the government of Kronos.

I request corruption, favoritism and favoritism to an end to the heinous which is shown by our preferred civil servants.  They [the civil servants] must hear our voice and know that we require change now.",,The Wrap,,,
01/20/2014 0:00:00,,VOICES - a blog approximately that what is important to people,,"1146 - Captain Federigo Accardi of the fire has given apparently the all-free one because several civil employees are entering in the construction, the perimeter is dismantling and the fire unit is packing their gear. 20 gen. 2014",,Centrum Sentinel,,,
12/17/2013 0:00:00,,GOVERNMENT STANDS UP ANTI-TERRORIST TASK FORCE,,"President Kapelou’s office announced today the formation of a State security anti-terrorist task force.  A spokesman for the office said “Considering the increased incidents of terrorist acts around the world, we felt it was time to readdress our operational readiness.”  Task force members will be recruited from military and law enforcement agencies.",,News Online Today,,,
01/20/2014 0:00:00,,ON SCENE BLOG,,"MODERNIZATION 1506 - the police has begun to leave the centers of GAStech. The officials have refused to answer to the questions of all the reporter that they leave the scene. Some vehicles of the police are remained behind. Presumablly the remaining officials are interviewing employ you to it of GAStech who still remain inside of the construction of the company.

The cord of the police still remains around to the building of GAStech.",,Modern Rubicon,,,
02/03/1993 0:00:00,,MISS INTENTIONS OF GOVERNMENT OF MARCH OF DETAILS,,"ABILA, Kronos - in a President étincelant Luis Araullo of press conference late last year a historical whole of tax tax incentives designed announced to bring the foreign investment to Kronos under the appearance creating of employment, providing cheap energy and establishing the infrastructure.  After the voice 86-14 month last the Minister of Interior Department Tomas Sarto glorifié the decision as the ""limiting terminal"" and ""improving the people"".

We will see.  The crafters of these revolutionary measurements neglected to include a plan detailed about the way in which these ventis would profit daily Kronosians.  When the first payment as of these alien company in the trunks of state, how these funds unload do will be dispersed?",,The Orb,,,
11/16/1998 0:00:00,,TO MEET REPRESENTATIVES OF POK THE MINISTER OF KRONOS OF HEALTH,,"ABILA, Kronos - the representatives of the social activist group guards of Kronos (POK) met earlier this week with Cesare Nespola, minister of health to discuss the resolutions to the contamination of the water which infested Elodis since the Nineties late.

""It was a productive meeting,"" the Chief of POK that Henk Bodrogi indicated.  ""I am encouraged considerably by the interest which the government shows in the pain of the people of Elodis.  It seemed to be very sensitive to our request to establish the health improved in Elodis, and reverses the contamination responsible so much for several of our diseases.""",,The Orb,,,
01/20/2014 0:00:00,,ON THE SCENE BLOG,,"1345 UPDATE - Confirmed report of missing GAStech employees from GAStech administrative assistant in Tethys headquarters; GAStech - Kronos still not responding.

The mystery of whom and how many are missing remains.",,The Abila Post,,,
08/23/2012 0:00:00,,WHO ARE THE PROTESTERS,,"ABILA, Kronos - With the third anniversary of Elian Karel's death approaching - former member of the Protectors of Kronos - the question is: who are the protesters?

The Protectors of Kronos or POK were founded in 1997 by residents of rural Elodis on the advice of the now defunct Wellness for All (WFA), an international water safety group. The POK was initiated to bring attention to the clean water issues surrounding Elodis to the Government of Kronos and the world. The POK asserts that GAStech International's Tiskele Bend natural gas drilling site is the source of both the contamination of drinking water as well as the destruction of the traditional farmland surrounding Elodis. However, with the fragmenting of WFA due to funding issues, the POK's demands were largely ignored and downplayed. The Government of Kronos officially refuted the claim citing the fragmentation of the WFA organization as evidence of an unreliable source not to be trusted. Regardless, Juliana became the POK's first martyr and has used Juliana's image on campaign literature ever since.",,Central Bulletin,,,
10/03/1982 0:00:00,,Central paper of the center in the industry of the gas of Tethan,,"The world of the gas distant, difficult and is thrown far. In Tethys some years ago, I traveled laborious to the gas fields moved away of Tethys to watch a new debatable area of the energy production.

One of the sites that I visited was a local office of the company of the gas of Sanjorge, finessed with the shippers of the work and the reinforced covers and the chemical agents and the sources you need to work an operation of the gas. Like it memory, a previous truck driver was responsible.",,Everyday News,,,
01/20/2014 0:00:00,,VOICES - a blog about what is important to the people,,1155 - The fire department spokesman announced the building is clear and it was a false alarm.  Employees return to the building.  20 Jan 2014,,Homeland Illumination,,,
01/16/2000 0:00:00,,GDP OF KRONOS ON RISE,,"ABILA, Kronos - the interior product gross real - the production of goods and the services produced by the work and the property located in Kronos - increased atan annual rate of 5.4% in the fourth quarter of 1999, according to the anticipated evaluation released by the office of economic sciences.

This marks the 5th year in a line with the positive growth of GDP for the country in the process of development. The major part of this growth can be contributed to the relationship between the government of Kronos and international GAStech.",,The Light of Truth,,,
03/09/2009 0:00:00,,THE COLLECTION POK DRAWS THOUSANDS OF VERDEDIGERS,,"ABILA, Kronos - thousands of protesters which carry banners that remind Juliana! to read and chanting we want truth! collected for the Kronos government offices Saturday morning. Protesters required an accountancy of the government turnovers of then the tax incentives of president Araullo's who was signed in law in 1993.

Of ten years - old Juliana Vann died in 1998, to a sickness which is caused by polluted water of boring GAStech verrichtingen. They heart-rending the pictogram of a movement which has reached support of one end of Kronos to other, has become.",,The Wrap,,,
01/21/2014 0:00:00,,ON THE SCENE BLOG,,850 UPDATE 21 January 2014 - DAY TWO of the GAStech Incident - We are awaiting the Abila Police Department news conference scheduled for 9:00.,,The Abila Post,,,
01/21/2014 0:00:00,,RANSOM DEMANDS MADE IN GASTECH KIDNAPPING,,"ABILA, Kronos - The Protectors of Kronos have not only taken responsibility for the kidnapping of GAStech International employees, but have also made a ransom demand of $20M from the President and CEO Sten Sanjorge, Jr.",,News Online Today,,,
09/02/2001 0:00:00,,THE MEMBERS OF POK ARRESTED,,"ELODIS, Kronos - heavies of the government obstructed the free speech - yet again - of the members of the protectors of the group of the activist of Kronos yesterday in a legal demonstration in the fields of the curve of Tiskele.  The five activists of POK had collected in front of the doors to the facility of the operations of the gas of GAStech that he perforated to cause to public conscience the contaminated river of Tiskele that has caused problems of health to the residents of Elodis.

The present people disclose that the demonstration had begun Pacific with the five members of POK that walked forwards and backwards through way, singing ""remembers Julian"" and ""not more of poison""",,Daily Pegasus,,,
10/17/1997 0:00:00,,"GOVERNMENT ISCED ""MINOR"" CONTAMINATION CLOSE TO ELODIS",,"ABILA, Kronos - after complaints and the continuous calls of the people of the civils servant of government of Elodis recognize the minor contamination in and around the rural black suburbs in a report/ratio on their research on the questions of the health of the townsmen. However, the report/ratio of government stops before blaming international GAStech and its site of curve of Tiskele 20 kilometers of ascending as the people of Elodis affirm.

The report/ratio of government does not quote any cause of root or of the causes can be given at this time with more necessary research and investigations. Indeed, the ""pointing of a finger of blame currently would be precipitated and most probably harmful with research.""",,Athena Speaks,,,
04/05/2005 0:00:00,,POK PROTESTS END IN ARRESTS,,"ELODIS, Kronos - Fifteen members of the Protectors of Kronos (POK) activist organization were arrested by Kronos federal police yesterday following an dispute at the gates of the Tiskele Bend GAStech facility.

Protesters arrived pre-dawn to lock arms and halt traffic leaving and entering the facility.  By 8 am local time, traffic had back up on both sides of the gates.  Swaying, the protesters sang well-known protest songs, including ""This is Our Land"", ""Songs of the Farmer"" and ""The Weavers of our Homeland""",,Homeland Illumination,,,
05/17/1998 0:00:00,,DOCUMENTARY CARD OF PUBLIC HEALTH Of ELODIS,,"ELODIS, Kronos - on request of the citizens of Elodis, health for all published a report/ratio on the impact of the operations of gas drilling on the quality of water and the public health.  The detailed report/ratio will be soon available on health for all the Web site.  Comparative data before 1998 were obtained starting from a complete investigation of the medical disc provided by the center of health of Elodis Community.

To bring back the climaxes",,The Orb,,,
12/18/2013 0:00:00,,ENORMOUS IPO MAKES MULTIMILLIONAIRE OF SANJORGE,,"CENTER, Tethys - president and CEO of GAStech international Sten Sanjorge, Jr can add another description to their name: multimillionaire. And not only a multimillionaire, almost multimillionaire excessive of like parts twice sold international of GAStech in an initial public offer.

International GAStech, founded on 1961 like Sanjorge that carries by Sten Sanjorge, Mr., produces near 5 million cubic meters of newspaper gas in curve of Tiskele of its site that it perforates of GAStech - of Kronos.",,The General Post,,,
07/28/2011 0:00:00,,"Labeled POK a ""public threat""",,"ABILA, Kronos - in a declaration to the press today, the spokesman Rufus Drymiau of the government said of the POK: ""a public threat due to the violent demonstrations, vandalism opportunistic, and shocks with the police are justifiable.""  The violence and the vandalism have become a registered tradename of the POK meetings lately.  ""They have caused the thousands of dollars in damage to the buildings and to the businesses, demonstrating they have little well-taken care of for the hardship of people.  President Kapelou will not let his mutilation continue undisputed,"" said Drymiau.",,The Guide,,,
06/20/2011 0:00:00,,A LOOK BACK AT A LIFE CUT TRAGICAL SHORT: ELIAN KAREL,,"ABILA, Kronos - Two years ago yesterday Elian Karel died at age 28 in an Abila jail cell, purportedly of cardiac arrest.  He had been arrested three months prior for spurious charges of tax evasion and left to linger in a jail cell without further legal action.  His attorney, Michale Kraft made several appearances in court demanding that the government outline their specific charges, and release Karel.  Kraft had reached an agreement with the government that charges would be reduced and the Karel be released pending a trial, but Karel died two days before he was to go free.

Questions linger, however, about the manner of Karel's death.  Requests for information were met with assurances that the police -whose custody Karel was in at the time of his death - would do everything possible to perform an exhaustive investigation.",,Homeland Illumination,,,
01/19/1993 0:00:00,,Government Announces Tax Incentives For Foreign Investment,,"ABILA, Kronos - Today the Parliament voted 86 to 14 in favor of President Araullo's package of tax incentives designed to lure foreign investment to our fair country.

The tax incentives specifically target energy development companies, which the government hopes to lure to Kronos' rich, but yet undeveloped, gas fields.  Ministry of the Interior projections show that development of just the Tiskele Bend fields could bring in as many as 5,000 high paying jobs and yield billions of dollars of infrastructure development over the next 20 years.",,International News,,,
05/04/1984 0:00:00,,Shale gas pioneer plans world's first offshore wells in Mediterranean Sea,,"<<Deleted Image: Anti-offshore drilling protester.  Exploration has proved a controversial issue in Kronos>>

Continue reading the main story",,News Online Today,,,
03/08/2012 0:00:00,,The Minister for health receives threats of POK,,"ABILA, Kronos - the sources of police force informed that Kronos hold the first role this Vincent Kapelou, minister of health, received several letters menaçantes applicant to come from the POK.  ""I guess that they become desperate for the attention,"" Vincent Kapelou called in an interview of telephone.  The ""chances are this is not nothing, but we will not take any chance. I doubled the size of my force of safety and sent my family far from the prolonged holidays.""

Kapelou, 39, were named with the position of the Minister for health in 2001 after the death of Cesare Nespola.  Kapelou is the oldest son of the brother of the President Kaeplou' S, Andreas.",,Worldwise,,,
03/13/2009 0:00:00,,Karel leader of the activist arrested for the fiscal evasion,,"ABILA, Kronos - the police of Kronos arrested Elian Karel in loads of fiscal evasion today.  Karel, the protective leader of the group ""of the activist of Kronos"", lead a meeting with its those in favor they arrested when it.  Tried Karel to make the light of the situation, but their followers were referred clearly on the seriousness of the loads made level against him.  The lawyer of Karel, Michale Kraft, sent a declaration declaring that the loads against their client were false and that he hoped to have sent Karel of safekeeping of the police by the end of the week.  About answer to the declaration of Kraft, Carman de Adrien of the spokesman of the said police, ""I think that Mr. Kraft has underestimated the seriousness of the situation of his client.""  It is clear that Elian Karel, that professes to have the interests of the people of Kronos in the heart, must explain us because he rejects to contribute to the well-being of his nation.",,The Guide,,,
02/22/2009 0:00:00,,SANJORGE JR CONDEMNS POK LIKE TERRORISTS,,"CENTER, Tethys - an official declaration sent by Sten Sanjorge, president of the Jr and the CEO of international GASTech, condemns the protectors of Kronos like ""ilegítimo"" and organization of the ""terrorist"". The declaration came in answer to the meeting of the protest of Wednesday by the POK in the headquarters of GAStech - of Kronos.

Rough 200 people collected in front of the mottos singing of the building of GAStech and the samples that shook that they alleged people have died the debt the results of the contamination of a site that it perforated of GAStech. Sanjorge, Jr responded to the demands of will refrán of the contamination of GAStech, ""[GAStech] we have worked untiring to solve - if it did not excédase - the international standards of the health been suitable upon with the government of Kronos before nobodies and everything being perforated.""",,The General Post,,,
11/23/1995 0:00:00,,Araullo announce the new construction of the hospital,,"ABILA, Kronos - president Araullo kondigde today to that its government the construction of new, in a modern way general hospital plants Abila.  The old general hospital Abila, which is built in 1930, out-of-date health care facilities have in the past suffered and from many elektrobranden the decade.  The administrator hauled Trucco of the hospital praised government action saying, we have tried get financing to update our facilities many years', uselessly.  We have now lived on lent time for rather tijdje with the old boiler.  It pure luck has been none that the old little girl on our. has been lacking entirely

New general Abila 350 beds, will have a substantial improvement of the pure 100 beds of the current old-fashioned facility.  Moreover, it complete help lines area, traumatism and burn care entities, one psychiatric care wing, and have four ultra-modern surgical ranges.  In its notice of new construction, aforesaid is Araullo, our strategy for foreign investment strive large profitable.  This new hospital is first of a lot of projects which we are ijn= pursue to help our standard of living to promote and our life style to modernize.",,The Truth,,,
12/17/2013 0:00:00,,BRONZE ATTACK OF TIME OF DAY BY POK,,"ABILA, Kronos - the bronze attack of time of day on two leaders of peace by the POK is right another act violate and terrorist in a long cord of such acts. The two leaders were left bloody and beaten, and attach upwards in the trunk of the their vandalized the vehicle.

To maintain the order Carman d' Adrien of spokesman known as of the attack, ""to attack police force property of government of leader and to destroy are serious crimes. I want to ensure the public which these men will be caught and brought to justice soon.""",,Athena Speaks,,,
01/20/2014 0:00:00,,VOICES - a blog approximately that what is important to people,,1018 - A fire fire signaler has been extinguished to the centers of GAStech.  People are not evacuating the construction and up to now sign of Sanjorge or its executive staff.   The civil employees have asked the reporter to move via from the construction in order allowing the access of fire unit.  That has the sapore still an other means stratagem in order to avoid the comparison from people of Kronos.  20 gen. 2014,,Centrum Sentinel,,,
10/02/2010 0:00:00,,PRESIDENT KAPELOU II ELECTED BY RECORD MARGIN,,"ABILA, Kronos - President Dorel Kapelou II has won re-election with the largest margin ever in a Kronesian election. The people of Kronos have stood together and announced a bright new day with a resounding vote of confidence for the President.

President Kapelou II of the Democratic Party of Kronos captured 98.7% of the vote with Ren Touvi of the Organization of Business and Unions Party a distant second with a mere 1.0% of the vote.",,The Abila Post,,,
03/26/2014 0:00:00,,,,"Interpol has announced the formation of a detachment of forces of the new multi-country to fight the more and more ample distribution of cathinone of methyldimethyl of the drug (MDMC).  To direct the detachment of forces is inspector greater Loblaw Robert, official of the veteran who lead very to guessed right equipment of Tethys Counterdrug.  He is optimist who he can identify the source.

""These drugs of designer have certain tracks as far as their origin,"" Loblaw these times in an interview.  ""Whenever the prescription changes, it leaves tracks as far as it did whom it.  It is like a pedigrí.""",,Everyday News,,,
08/16/2000 0:00:00,,SITE OF THE CURVE OF TISKELE OF ROCKS GASTECH OF THE EXPLOSION,,"AVILA, Kronos - an explosion in a next cushion of the well that it perforated of the gas woke up Rebecca Cato 3 mornings around the morning of Sunday. When she left her home in Elodis, Kronos - a rural municipality outside capital Avila - to investigate the noise she noticed a great fire coming from international site of the curve of GAStech Tiskele.

The near Elodis GAStech-had good ignited the subterranean of the methane gas that caused a fire that lasted by around one hour. At least four employees of GAStech appeared to be cleared by the ambulance; nevertheless, GAStech has declined to comment with respect to the degree and to the nature of its injuries.",,The General Post,,,
03/22/2007 0:00:00,,"GASTECH TOUCH THE TRUCK CAR NEAR ELODIS, FAMILY OF DEAD FOUR",,"ELODIS, Kronos - a vehicle collision required living a family Elodis, including two children Tuesday afternoon.  The family reiste to house of a school programme where one of the children in the programme of spring on primary school Elodis had performed.

The aid police force of Elodis reported commissioner Adian Koppolis three of the victims at the scene of the accident died.  Marcellus Edris, 33, its woman Valeria, 30, their for the Celia, 7 died at the scene of the accident.  A zoon, the my, survived initial collision but died later at the hospital Abila.",,The Wrap,,,
